texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:191:61:191:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:191:85:191:85: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:192:1:192:87: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:192:56:192:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:192:57:192:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:192:61:192:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:192:87:192:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:193:1:193:86: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:193:56:193:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:193:57:193:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:193:61:193:85: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:193:86:193:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:194:1:194:86: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:194:56:194:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:194:57:194:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:194:61:194:85: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:194:86:194:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:195:1:195:85: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:195:56:195:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:195:57:195:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:195:61:195:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:195:85:195:85: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:196:1:196:87: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:196:56:196:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:196:57:196:57: s204 missing stylistic whitespaces
