texmf-dist/tex/latex/spreadtab/spreadtab.sty:148:10:148:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:149:10:149:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:150:10:150:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:151:10:151:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:152:10:152:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:154:7:154:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:155:7:155:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:157:7:157:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:158:7:158:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:163:5:163:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:163:21:163:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:163:24:163:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:164:20:164:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:164:21:164:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:164:29:164:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:165:16:165:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:166:5:166:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:169:5:169:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:169:16:169:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:169:17:169:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:169:41:169:41: s204 missing stylistic whitespaces
