texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:565:1:565:87: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:565:55:565:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:565:68:565:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:567:1:567:82: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:567:50:567:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:569:16:569:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:569:19:569:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:573:43:573:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:637:1:637:93: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:638:1:638:93: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:641:1:641:92: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:642:1:642:93: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:645:1:645:93: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:646:1:646:92: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:649:1:649:92: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:650:1:650:92: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:653:1:653:93: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:654:1:654:93: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:662:40:662:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:662:43:662:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:662:47:662:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:666:43:666:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:667:1:667:108: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:668:1:668:108: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:669:26:669:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:670:21:670:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:672:41:672:41: s204 missing stylistic whitespaces
