texmf-dist/tex/generic/xint/xintkernel.sty:300:2:300:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:301:17:301:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:301:35:301:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:302:41:302:41: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:303:2:303:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:304:5:304:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:304:27:304:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:305:10:305:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:305:28:305:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:305:37:305:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:305:59:305:64: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:306:2:306:2: s204 missing stylistic whitespaces
