texmf-dist/tex/fontinst/base/fontinst.sty:289:11:289:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:289:13:289:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:289:21:289:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:291:19:291:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:294:46:294:53: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:296:46:296:54: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:300:5:300:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:300:5:300:13: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:300:14:300:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:301:5:301:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:301:5:301:19: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:301:20:301:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:302:25:302:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:303:11:303:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:305:19:305:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:308:19:308:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:313:11:313:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:313:18:313:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:313:19:313:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:318:5:318:22: s204 missing stylistic whitespaces
