texmf-dist/tex/latex/polyglossia/polyglossia.sty:813:78:813:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:813:83:813:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:820:39:820:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:820:50:820:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:822:30:822:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:822:35:822:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:822:39:822:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:826:58:826:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:826:59:826:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:836:51:836:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:839:68:839:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:841:22:841:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:841:23:841:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:841:44:841:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:845:1:845:85: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:845:78:845:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:853:50:853:50: s204 missing stylistic whitespaces
