texmf-dist/tex/generic/xint/xintcore.sty:195:11:195:11: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:195:12:195:12: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:195:13:195:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:196:11:196:11: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:196:13:196:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:196:14:196:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:197:10:197:10: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:197:11:197:11: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:197:12:197:12: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:197:13:197:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:199:2:199:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:200:5:200:16: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:200:22:200:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:201:2:201:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:203:10:203:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:204:10:204:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:205:10:205:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:207:2:207:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:208:43:208:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:210:2:210:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:211:17:211:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:212:2:212:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:213:5:213:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:213:32:213:40: s204 missing stylistic whitespaces
