texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:459:84:459:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:459:125:459:125: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:460:1:460:97: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:460:68:460:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:460:70:460:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:460:72:460:95: s413 malformed variable or constant name
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:461:1:461:95: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:461:38:461:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:461:38:461:61: s413 malformed variable or constant name
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:461:64:461:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:461:66:461:93: s413 malformed variable or constant name
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:465:1:465:191: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:465:42:465:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:465:81:465:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:465:83:465:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:465:122:465:122: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:465:124:465:124: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:465:130:465:157: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:465:160:465:160: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:466:4:466:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:470:35:470:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:470:40:470:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:474:2:474:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:477:33:477:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:477:38:477:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:481:2:481:2: s204 missing stylistic whitespaces
